method,path,backend_status,body_size,statediff_size,body
POST,/api/books,200,54,171,"{""title"":""Test Book 1_26"",""author"":""Test Author 1_26""}"
GET,/api/books/27,200,0,3,
PUT,/api/books/27,200,70,110,"{""title"":""Updated Test Book 1_26"",""author"":""Updated Test Author 1_26""}"
DELETE,/api/books/27,200,0,177,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_27"",""author"":""Test Author 1_27""}"
GET,/api/books/28,200,0,3,
PUT,/api/books/28,200,70,116,"{""title"":""Updated Test Book 1_27"",""author"":""Updated Test Author 1_27""}"
DELETE,/api/books/28,200,0,183,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_28"",""author"":""Test Author 1_28""}"
GET,/api/books/29,200,0,3,
PUT,/api/books/29,200,70,117,"{""title"":""Updated Test Book 1_28"",""author"":""Updated Test Author 1_28""}"
DELETE,/api/books/29,200,0,178,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_29"",""author"":""Test Author 1_29""}"
GET,/api/books/30,200,0,3,
PUT,/api/books/30,200,70,108,"{""title"":""Updated Test Book 1_29"",""author"":""Updated Test Author 1_29""}"
DELETE,/api/books/30,200,0,168,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_30"",""author"":""Test Author 1_30""}"
GET,/api/books/31,200,0,3,
PUT,/api/books/31,200,70,118,"{""title"":""Updated Test Book 1_30"",""author"":""Updated Test Author 1_30""}"
DELETE,/api/books/31,200,0,184,
POST,/api/books,200,54,169,"{""title"":""Test Book 1_31"",""author"":""Test Author 1_31""}"
GET,/api/books/32,200,0,3,
PUT,/api/books/32,200,70,190,"{""title"":""Updated Test Book 1_31"",""author"":""Updated Test Author 1_31""}"
DELETE,/api/books/32,200,0,205,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_32"",""author"":""Test Author 1_32""}"
GET,/api/books/33,200,0,3,
PUT,/api/books/33,200,70,115,"{""title"":""Updated Test Book 1_32"",""author"":""Updated Test Author 1_32""}"
DELETE,/api/books/33,200,0,183,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_33"",""author"":""Test Author 1_33""}"
GET,/api/books/34,200,0,3,
PUT,/api/books/34,200,70,117,"{""title"":""Updated Test Book 1_33"",""author"":""Updated Test Author 1_33""}"
DELETE,/api/books/34,200,0,184,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_34"",""author"":""Test Author 1_34""}"
GET,/api/books/35,200,0,3,
PUT,/api/books/35,200,70,116,"{""title"":""Updated Test Book 1_34"",""author"":""Updated Test Author 1_34""}"
DELETE,/api/books/35,200,0,183,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_35"",""author"":""Test Author 1_35""}"
GET,/api/books/36,200,0,3,
PUT,/api/books/36,200,70,111,"{""title"":""Updated Test Book 1_35"",""author"":""Updated Test Author 1_35""}"
DELETE,/api/books/36,200,0,178,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_36"",""author"":""Test Author 1_36""}"
GET,/api/books/37,200,0,3,
PUT,/api/books/37,200,70,116,"{""title"":""Updated Test Book 1_36"",""author"":""Updated Test Author 1_36""}"
DELETE,/api/books/37,200,0,183,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_37"",""author"":""Test Author 1_37""}"
GET,/api/books/38,200,0,3,
PUT,/api/books/38,200,70,117,"{""title"":""Updated Test Book 1_37"",""author"":""Updated Test Author 1_37""}"
DELETE,/api/books/38,200,0,182,
POST,/api/books,200,54,174,"{""title"":""Test Book 1_38"",""author"":""Test Author 1_38""}"
GET,/api/books/39,200,0,3,
PUT,/api/books/39,200,70,190,"{""title"":""Updated Test Book 1_38"",""author"":""Updated Test Author 1_38""}"
DELETE,/api/books/39,200,0,196,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_39"",""author"":""Test Author 1_39""}"
GET,/api/books/40,200,0,3,
PUT,/api/books/40,200,70,106,"{""title"":""Updated Test Book 1_39"",""author"":""Updated Test Author 1_39""}"
DELETE,/api/books/40,200,0,185,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_40"",""author"":""Test Author 1_40""}"
GET,/api/books/41,200,0,3,
PUT,/api/books/41,200,70,111,"{""title"":""Updated Test Book 1_40"",""author"":""Updated Test Author 1_40""}"
DELETE,/api/books/41,200,0,179,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_41"",""author"":""Test Author 1_41""}"
GET,/api/books/42,200,0,3,
PUT,/api/books/42,200,70,122,"{""title"":""Updated Test Book 1_41"",""author"":""Updated Test Author 1_41""}"
DELETE,/api/books/42,200,0,183,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_42"",""author"":""Test Author 1_42""}"
